set,bond_type,len_lo,len_hi,n,pct
AR,C=C,-inf,1.1,3,0.0589
AR,C=C,1.1,1.105,1,0.0196
AR,C=C,1.105,1.11,0,0.0
AR,C=C,1.11,1.115,0,0.0
AR,C=C,1.115,1.12,0,0.0
AR,C=C,1.12,1.125,0,0.0
AR,C=C,1.125,1.13,0,0.0
AR,C=C,1.13,1.135,0,0.0
AR,C=C,1.135,1.14,0,0.0
AR,C=C,1.14,1.145,1,0.0196
AR,C=C,1.145,1.15,0,0.0
AR,C=C,1.15,1.155,0,0.0
AR,C=C,1.155,1.16,0,0.0
AR,C=C,1.16,1.165,0,0.0
AR,C=C,1.165,1.17,0,0.0
AR,C=C,1.17,1.175,0,0.0
AR,C=C,1.175,1.18,1,0.0196
AR,C=C,1.18,1.185,1,0.0196
AR,C=C,1.185,1.19,0,0.0
AR,C=C,1.19,1.195,1,0.0196
AR,C=C,1.195,1.2,0,0.0
AR,C=C,1.2,1.205,9,0.1767
AR,C=C,1.205,1.21,5,0.0982
AR,C=C,1.21,1.215,0,0.0
AR,C=C,1.215,1.22,2,0.0393
AR,C=C,1.22,1.225,8,0.1571
AR,C=C,1.225,1.23,0,0.0
AR,C=C,1.23,1.235,6,0.1178
AR,C=C,1.235,1.24,4,0.0785
AR,C=C,1.24,1.245,8,0.1571
AR,C=C,1.245,1.25,0,0.0
AR,C=C,1.25,1.255,2,0.0393
AR,C=C,1.255,1.26,3,0.0589
AR,C=C,1.26,1.265,1,0.0196
AR,C=C,1.265,1.27,28,0.5498
AR,C=C,1.27,1.275,22,0.432
AR,C=C,1.275,1.28,8,0.1571
AR,C=C,1.28,1.285,30,0.589
AR,C=C,1.285,1.29,14,0.2749
AR,C=C,1.29,1.295,0,0.0
AR,C=C,1.295,1.3,4,0.0785
AR,C=C,1.3,1.305,60,1.1781
AR,C=C,1.305,1.31,52,1.021
AR,C=C,1.31,1.315,3,0.0589
AR,C=C,1.315,1.32,167,3.279
AR,C=C,1.32,1.325,0,0.0
AR,C=C,1.325,1.33,20,0.3927
AR,C=C,1.33,1.335,94,1.8457
AR,C=C,1.335,1.34,50,0.9817
AR,C=C,1.34,1.345,31,0.6087
AR,C=C,1.345,1.35,164,3.2201
AR,C=C,1.35,1.355,0,0.0
AR,C=C,1.355,1.36,34,0.6676
AR,C=C,1.36,1.365,257,5.0461
AR,C=C,1.365,1.37,59,1.1585
AR,C=C,1.37,1.375,185,3.6324
AR,C=C,1.375,1.38,39,0.7658
AR,C=C,1.38,1.385,0,0.0
AR,C=C,1.385,1.39,59,1.1585
AR,C=C,1.39,1.395,237,4.6534
AR,C=C,1.395,1.4,131,2.5722
AR,C=C,1.4,1.405,177,3.4754
AR,C=C,1.405,1.41,215,4.2215
AR,C=C,1.41,1.415,45,0.8836
AR,C=C,1.415,1.42,144,2.8274
AR,C=C,1.42,1.425,180,3.5343
AR,C=C,1.425,1.43,37,0.7265
AR,C=C,1.43,1.435,67,1.3155
AR,C=C,1.435,1.44,286,5.6156
AR,C=C,1.44,1.445,25,0.4909
AR,C=C,1.445,1.45,394,7.7361
AR,C=C,1.45,1.455,62,1.2174
AR,C=C,1.455,1.46,251,4.9283
AR,C=C,1.46,1.465,101,1.9831
AR,C=C,1.465,1.47,186,3.6521
AR,C=C,1.47,1.475,97,1.9046
AR,C=C,1.475,1.48,261,5.1247
AR,C=C,1.48,1.485,0,0.0
AR,C=C,1.485,1.49,324,6.3617
AR,C=C,1.49,1.495,0,0.0
AR,C=C,1.495,1.5,39,0.7658
AR,C=C,1.5,1.505,135,2.6507
AR,C=C,1.505,1.51,19,0.3731
AR,C=C,1.51,1.515,10,0.1963
AR,C=C,1.515,1.52,19,0.3731
AR,C=C,1.52,1.525,0,0.0
AR,C=C,1.525,1.53,14,0.2749
AR,C=C,1.53,1.535,4,0.0785
AR,C=C,1.535,1.54,7,0.1374
AR,C=C,1.54,1.545,5,0.0982
AR,C=C,1.545,1.55,0,0.0
AR,C=C,1.55,1.555,22,0.432
AR,C=C,1.555,1.56,32,0.6283
AR,C=C,1.56,1.565,3,0.0589
AR,C=C,1.565,1.57,27,0.5301
AR,C=C,1.57,1.575,2,0.0393
AR,C=C,1.575,1.58,3,0.0589
AR,C=C,1.58,1.585,20,0.3927
AR,C=C,1.585,1.59,0,0.0
AR,C=C,1.59,1.595,8,0.1571
AR,C=C,1.595,1.6,0,0.0
AR,C=C,1.6,1.605,7,0.1374
AR,C=C,1.605,1.61,1,0.0196
AR,C=C,1.61,1.615,9,0.1767
AR,C=C,1.615,1.62,6,0.1178
AR,C=C,1.62,1.625,4,0.0785
AR,C=C,1.625,1.63,4,0.0785
AR,C=C,1.63,1.635,3,0.0589
AR,C=C,1.635,1.64,0,0.0
AR,C=C,1.64,1.645,4,0.0785
AR,C=C,1.645,1.65,0,0.0
AR,C=C,1.65,1.655,0,0.0
AR,C=C,1.655,1.66,3,0.0589
AR,C=C,1.66,1.665,5,0.0982
AR,C=C,1.665,1.67,7,0.1374
AR,C=C,1.67,1.675,1,0.0196
AR,C=C,1.675,1.68,1,0.0196
AR,C=C,1.68,1.685,1,0.0196
AR,C=C,1.685,1.69,1,0.0196
AR,C=C,1.69,inf,11,0.216
AR,C-N,-inf,1.1,47,0.1669
AR,C-N,1.1,1.105,3,0.0107
AR,C-N,1.105,1.11,4,0.0142
AR,C-N,1.11,1.115,0,0.0
AR,C-N,1.115,1.12,17,0.0604
AR,C-N,1.12,1.125,11,0.0391
AR,C-N,1.125,1.13,0,0.0
AR,C-N,1.13,1.135,3,0.0107
AR,C-N,1.135,1.14,14,0.0497
AR,C-N,1.14,1.145,19,0.0675
AR,C-N,1.145,1.15,2,0.0071
AR,C-N,1.15,1.155,13,0.0462
AR,C-N,1.155,1.16,23,0.0817
AR,C-N,1.16,1.165,0,0.0
AR,C-N,1.165,1.17,12,0.0426
AR,C-N,1.17,1.175,58,0.2059
AR,C-N,1.175,1.18,9,0.032
AR,C-N,1.18,1.185,10,0.0355
AR,C-N,1.185,1.19,30,0.1065
AR,C-N,1.19,1.195,26,0.0923
AR,C-N,1.195,1.2,0,0.0
AR,C-N,1.2,1.205,45,0.1598
AR,C-N,1.205,1.21,106,0.3763
AR,C-N,1.21,1.215,14,0.0497
AR,C-N,1.215,1.22,14,0.0497
AR,C-N,1.22,1.225,241,0.8556
AR,C-N,1.225,1.23,0,0.0
AR,C-N,1.23,1.235,57,0.2024
AR,C-N,1.235,1.24,144,0.5112
AR,C-N,1.24,1.245,215,0.7633
AR,C-N,1.245,1.25,2,0.0071
AR,C-N,1.25,1.255,152,0.5396
AR,C-N,1.255,1.26,79,0.2805
AR,C-N,1.26,1.265,17,0.0604
AR,C-N,1.265,1.27,334,1.1857
AR,C-N,1.27,1.275,227,0.8059
AR,C-N,1.275,1.28,16,0.0568
AR,C-N,1.28,1.285,338,1.1999
AR,C-N,1.285,1.29,298,1.0579
AR,C-N,1.29,1.295,0,0.0
AR,C-N,1.295,1.3,138,0.4899
AR,C-N,1.3,1.305,723,2.5667
AR,C-N,1.305,1.31,395,1.4023
AR,C-N,1.31,1.315,82,0.2911
AR,C-N,1.315,1.32,1115,3.9584
AR,C-N,1.32,1.325,0,0.0
AR,C-N,1.325,1.33,50,0.1775
AR,C-N,1.33,1.335,652,2.3147
AR,C-N,1.335,1.34,596,2.1159
AR,C-N,1.34,1.345,237,0.8414
AR,C-N,1.345,1.35,1133,4.0223
AR,C-N,1.35,1.355,0,0.0
AR,C-N,1.355,1.36,215,0.7633
AR,C-N,1.36,1.365,1486,5.2755
AR,C-N,1.365,1.37,354,1.2567
AR,C-N,1.37,1.375,916,3.2519
AR,C-N,1.375,1.38,187,0.6639
AR,C-N,1.38,1.385,0,0.0
AR,C-N,1.385,1.39,351,1.2461
AR,C-N,1.39,1.395,1254,4.4519
AR,C-N,1.395,1.4,400,1.4201
AR,C-N,1.4,1.405,993,3.5253
AR,C-N,1.405,1.41,771,2.7371
AR,C-N,1.41,1.415,419,1.4875
AR,C-N,1.415,1.42,1094,3.8838
AR,C-N,1.42,1.425,944,3.3513
AR,C-N,1.425,1.43,300,1.065
AR,C-N,1.43,1.435,458,1.626
AR,C-N,1.435,1.44,1352,4.7998
AR,C-N,1.44,1.445,145,0.5148
AR,C-N,1.445,1.45,1686,5.9855
AR,C-N,1.45,1.455,419,1.4875
AR,C-N,1.455,1.46,948,3.3655
AR,C-N,1.46,1.465,284,1.0082
AR,C-N,1.465,1.47,527,1.8709
AR,C-N,1.47,1.475,559,1.9845
AR,C-N,1.475,1.48,1091,3.8732
AR,C-N,1.48,1.485,0,0.0
AR,C-N,1.485,1.49,1289,4.5761
AR,C-N,1.49,1.495,9,0.032
AR,C-N,1.495,1.5,177,0.6284
AR,C-N,1.5,1.505,414,1.4698
AR,C-N,1.505,1.51,112,0.3976
AR,C-N,1.51,1.515,27,0.0959
AR,C-N,1.515,1.52,115,0.4083
AR,C-N,1.52,1.525,9,0.032
AR,C-N,1.525,1.53,190,0.6745
AR,C-N,1.53,1.535,21,0.0746
AR,C-N,1.535,1.54,70,0.2485
AR,C-N,1.54,1.545,25,0.0888
AR,C-N,1.545,1.55,0,0.0
AR,C-N,1.55,1.555,50,0.1775
AR,C-N,1.555,1.56,80,0.284
AR,C-N,1.56,1.565,11,0.0391
AR,C-N,1.565,1.57,125,0.4438
AR,C-N,1.57,1.575,16,0.0568
AR,C-N,1.575,1.58,36,0.1278
AR,C-N,1.58,1.585,90,0.3195
AR,C-N,1.585,1.59,0,0.0
AR,C-N,1.59,1.595,41,0.1456
AR,C-N,1.595,1.6,0,0.0
AR,C-N,1.6,1.605,44,0.1562
AR,C-N,1.605,1.61,24,0.0852
AR,C-N,1.61,1.615,8,0.0284
AR,C-N,1.615,1.62,76,0.2698
AR,C-N,1.62,1.625,12,0.0426
AR,C-N,1.625,1.63,6,0.0213
AR,C-N,1.63,1.635,27,0.0959
AR,C-N,1.635,1.64,1,0.0036
AR,C-N,1.64,1.645,30,0.1065
AR,C-N,1.645,1.65,6,0.0213
AR,C-N,1.65,1.655,5,0.0178
AR,C-N,1.655,1.66,21,0.0746
AR,C-N,1.66,1.665,5,0.0178
AR,C-N,1.665,1.67,17,0.0604
AR,C-N,1.67,1.675,0,0.0
AR,C-N,1.675,1.68,27,0.0959
AR,C-N,1.68,1.685,4,0.0142
AR,C-N,1.685,1.69,6,0.0213
AR,C-N,1.69,inf,68,0.2414
AR,C=N,-inf,1.1,9,0.2805
AR,C=N,1.1,1.105,6,0.187
AR,C=N,1.105,1.11,1,0.0312
AR,C=N,1.11,1.115,0,0.0
AR,C=N,1.115,1.12,2,0.0623
AR,C=N,1.12,1.125,5,0.1558
AR,C=N,1.125,1.13,0,0.0
AR,C=N,1.13,1.135,0,0.0
AR,C=N,1.135,1.14,7,0.2181
AR,C=N,1.14,1.145,4,0.1246
AR,C=N,1.145,1.15,11,0.3428
AR,C=N,1.15,1.155,2,0.0623
AR,C=N,1.155,1.16,15,0.4674
AR,C=N,1.16,1.165,0,0.0
AR,C=N,1.165,1.17,4,0.1246
AR,C=N,1.17,1.175,31,0.966
AR,C=N,1.175,1.18,12,0.3739
AR,C=N,1.18,1.185,3,0.0935
AR,C=N,1.185,1.19,3,0.0935
AR,C=N,1.19,1.195,8,0.2493
AR,C=N,1.195,1.2,0,0.0
AR,C=N,1.2,1.205,13,0.4051
AR,C=N,1.205,1.21,20,0.6232
AR,C=N,1.21,1.215,4,0.1246
AR,C=N,1.215,1.22,5,0.1558
AR,C=N,1.22,1.225,50,1.5581
AR,C=N,1.225,1.23,0,0.0
AR,C=N,1.23,1.235,24,0.7479
AR,C=N,1.235,1.24,42,1.3088
AR,C=N,1.24,1.245,41,1.2777
AR,C=N,1.245,1.25,0,0.0
AR,C=N,1.25,1.255,40,1.2465
AR,C=N,1.255,1.26,21,0.6544
AR,C=N,1.26,1.265,2,0.0623
AR,C=N,1.265,1.27,66,2.0567
AR,C=N,1.27,1.275,45,1.4023
AR,C=N,1.275,1.28,4,0.1246
AR,C=N,1.28,1.285,160,4.986
AR,C=N,1.285,1.29,44,1.3711
AR,C=N,1.29,1.295,0,0.0
AR,C=N,1.295,1.3,17,0.5298
AR,C=N,1.3,1.305,193,6.0143
AR,C=N,1.305,1.31,96,2.9916
AR,C=N,1.31,1.315,6,0.187
AR,C=N,1.315,1.32,218,6.7934
AR,C=N,1.32,1.325,0,0.0
AR,C=N,1.325,1.33,21,0.6544
AR,C=N,1.33,1.335,93,2.8981
AR,C=N,1.335,1.34,191,5.952
AR,C=N,1.34,1.345,30,0.9349
AR,C=N,1.345,1.35,249,7.7594
AR,C=N,1.35,1.355,0,0.0
AR,C=N,1.355,1.36,72,2.2437
AR,C=N,1.36,1.365,165,5.1418
AR,C=N,1.365,1.37,25,0.7791
AR,C=N,1.37,1.375,75,2.3372
AR,C=N,1.375,1.38,50,1.5581
AR,C=N,1.38,1.385,0,0.0
AR,C=N,1.385,1.39,43,1.34
AR,C=N,1.39,1.395,135,4.2069
AR,C=N,1.395,1.4,33,1.0284
AR,C=N,1.4,1.405,66,2.0567
AR,C=N,1.405,1.41,63,1.9632
AR,C=N,1.41,1.415,19,0.5921
AR,C=N,1.415,1.42,41,1.2777
AR,C=N,1.42,1.425,116,3.6148
AR,C=N,1.425,1.43,16,0.4986
AR,C=N,1.43,1.435,27,0.8414
AR,C=N,1.435,1.44,88,2.7423
AR,C=N,1.44,1.445,10,0.3116
AR,C=N,1.445,1.45,98,3.0539
AR,C=N,1.45,1.455,19,0.5921
AR,C=N,1.455,1.46,70,2.1814
AR,C=N,1.46,1.465,14,0.4363
AR,C=N,1.465,1.47,10,0.3116
AR,C=N,1.47,1.475,20,0.6232
AR,C=N,1.475,1.48,36,1.1218
AR,C=N,1.48,1.485,0,0.0
AR,C=N,1.485,1.49,27,0.8414
AR,C=N,1.49,1.495,0,0.0
AR,C=N,1.495,1.5,3,0.0935
AR,C=N,1.5,1.505,11,0.3428
AR,C=N,1.505,1.51,4,0.1246
AR,C=N,1.51,1.515,0,0.0
AR,C=N,1.515,1.52,3,0.0935
AR,C=N,1.52,1.525,0,0.0
AR,C=N,1.525,1.53,5,0.1558
AR,C=N,1.53,1.535,1,0.0312
AR,C=N,1.535,1.54,2,0.0623
AR,C=N,1.54,1.545,1,0.0312
AR,C=N,1.545,1.55,0,0.0
AR,C=N,1.55,1.555,4,0.1246
AR,C=N,1.555,1.56,1,0.0312
AR,C=N,1.56,1.565,0,0.0
AR,C=N,1.565,1.57,2,0.0623
AR,C=N,1.57,1.575,0,0.0
AR,C=N,1.575,1.58,1,0.0312
AR,C=N,1.58,1.585,3,0.0935
AR,C=N,1.585,1.59,0,0.0
AR,C=N,1.59,1.595,1,0.0312
AR,C=N,1.595,1.6,0,0.0
AR,C=N,1.6,1.605,0,0.0
AR,C=N,1.605,1.61,1,0.0312
AR,C=N,1.61,1.615,2,0.0623
AR,C=N,1.615,1.62,1,0.0312
AR,C=N,1.62,1.625,1,0.0312
AR,C=N,1.625,1.63,0,0.0
AR,C=N,1.63,1.635,1,0.0312
AR,C=N,1.635,1.64,0,0.0
AR,C=N,1.64,1.645,3,0.0935
AR,C=N,1.645,1.65,0,0.0
AR,C=N,1.65,1.655,0,0.0
AR,C=N,1.655,1.66,2,0.0623
AR,C=N,1.66,1.665,0,0.0
AR,C=N,1.665,1.67,0,0.0
AR,C=N,1.67,1.675,0,0.0
AR,C=N,1.675,1.68,0,0.0
AR,C=N,1.68,1.685,0,0.0
AR,C=N,1.685,1.69,0,0.0
AR,C=N,1.69,inf,0,0.0
AR,C-O,-inf,1.1,113,0.569
AR,C-O,1.1,1.105,21,0.1058
AR,C-O,1.105,1.11,8,0.0403
AR,C-O,1.11,1.115,0,0.0
AR,C-O,1.115,1.12,21,0.1058
AR,C-O,1.12,1.125,18,0.0906
AR,C-O,1.125,1.13,0,0.0
AR,C-O,1.13,1.135,0,0.0
AR,C-O,1.135,1.14,20,0.1007
AR,C-O,1.14,1.145,23,0.1158
AR,C-O,1.145,1.15,5,0.0252
AR,C-O,1.15,1.155,7,0.0353
AR,C-O,1.155,1.16,53,0.2669
AR,C-O,1.16,1.165,0,0.0
AR,C-O,1.165,1.17,14,0.0705
AR,C-O,1.17,1.175,77,0.3878
AR,C-O,1.175,1.18,17,0.0856
AR,C-O,1.18,1.185,14,0.0705
AR,C-O,1.185,1.19,30,0.1511
AR,C-O,1.19,1.195,19,0.0957
AR,C-O,1.195,1.2,0,0.0
AR,C-O,1.2,1.205,54,0.2719
AR,C-O,1.205,1.21,94,0.4734
AR,C-O,1.21,1.215,24,0.1209
AR,C-O,1.215,1.22,9,0.0453
AR,C-O,1.22,1.225,174,0.8762
AR,C-O,1.225,1.23,0,0.0
AR,C-O,1.23,1.235,37,0.1863
AR,C-O,1.235,1.24,66,0.3324
AR,C-O,1.24,1.245,126,0.6345
AR,C-O,1.245,1.25,0,0.0
AR,C-O,1.25,1.255,68,0.3424
AR,C-O,1.255,1.26,72,0.3626
AR,C-O,1.26,1.265,14,0.0705
AR,C-O,1.265,1.27,159,0.8007
AR,C-O,1.27,1.275,108,0.5439
AR,C-O,1.275,1.28,25,0.1259
AR,C-O,1.28,1.285,173,0.8712
AR,C-O,1.285,1.29,185,0.9316
AR,C-O,1.29,1.295,0,0.0
AR,C-O,1.295,1.3,117,0.5892
AR,C-O,1.3,1.305,515,2.5934
AR,C-O,1.305,1.31,268,1.3496
AR,C-O,1.31,1.315,60,0.3021
AR,C-O,1.315,1.32,665,3.3488
AR,C-O,1.32,1.325,0,0.0
AR,C-O,1.325,1.33,34,0.1712
AR,C-O,1.33,1.335,446,2.2459
AR,C-O,1.335,1.34,343,1.7273
AR,C-O,1.34,1.345,236,1.1884
AR,C-O,1.345,1.35,762,3.8372
AR,C-O,1.35,1.355,0,0.0
AR,C-O,1.355,1.36,152,0.7654
AR,C-O,1.36,1.365,1070,5.3883
AR,C-O,1.365,1.37,162,0.8158
AR,C-O,1.37,1.375,723,3.6409
AR,C-O,1.375,1.38,200,1.0072
AR,C-O,1.38,1.385,0,0.0
AR,C-O,1.385,1.39,183,0.9215
AR,C-O,1.39,1.395,939,4.7286
AR,C-O,1.395,1.4,395,1.9891
AR,C-O,1.4,1.405,794,3.9984
AR,C-O,1.405,1.41,536,2.6992
AR,C-O,1.41,1.415,309,1.556
AR,C-O,1.415,1.42,542,2.7294
AR,C-O,1.42,1.425,588,2.961
AR,C-O,1.425,1.43,158,0.7956
AR,C-O,1.43,1.435,292,1.4704
AR,C-O,1.435,1.44,971,4.8897
AR,C-O,1.44,1.445,120,0.6043
AR,C-O,1.445,1.45,1365,6.8738
AR,C-O,1.45,1.455,294,1.4805
AR,C-O,1.455,1.46,670,3.374
AR,C-O,1.46,1.465,374,1.8834
AR,C-O,1.465,1.47,361,1.8179
AR,C-O,1.47,1.475,322,1.6215
AR,C-O,1.475,1.48,738,3.7164
AR,C-O,1.48,1.485,0,0.0
AR,C-O,1.485,1.49,1047,5.2724
AR,C-O,1.49,1.495,0,0.0
AR,C-O,1.495,1.5,163,0.8208
AR,C-O,1.5,1.505,345,1.7373
AR,C-O,1.505,1.51,59,0.2971
AR,C-O,1.51,1.515,41,0.2065
AR,C-O,1.515,1.52,62,0.3122
AR,C-O,1.52,1.525,3,0.0151
AR,C-O,1.525,1.53,90,0.4532
AR,C-O,1.53,1.535,12,0.0604
AR,C-O,1.535,1.54,38,0.1914
AR,C-O,1.54,1.545,19,0.0957
AR,C-O,1.545,1.55,0,0.0
AR,C-O,1.55,1.555,34,0.1712
AR,C-O,1.555,1.56,43,0.2165
AR,C-O,1.56,1.565,15,0.0755
AR,C-O,1.565,1.57,54,0.2719
AR,C-O,1.57,1.575,17,0.0856
AR,C-O,1.575,1.58,21,0.1058
AR,C-O,1.58,1.585,42,0.2115
AR,C-O,1.585,1.59,0,0.0
AR,C-O,1.59,1.595,23,0.1158
AR,C-O,1.595,1.6,0,0.0
AR,C-O,1.6,1.605,35,0.1763
AR,C-O,1.605,1.61,14,0.0705
AR,C-O,1.61,1.615,4,0.0201
AR,C-O,1.615,1.62,20,0.1007
AR,C-O,1.62,1.625,6,0.0302
AR,C-O,1.625,1.63,5,0.0252
AR,C-O,1.63,1.635,18,0.0906
AR,C-O,1.635,1.64,1,0.005
AR,C-O,1.64,1.645,29,0.146
AR,C-O,1.645,1.65,1,0.005
AR,C-O,1.65,1.655,0,0.0
AR,C-O,1.655,1.66,3,0.0151
AR,C-O,1.66,1.665,6,0.0302
AR,C-O,1.665,1.67,2,0.0101
AR,C-O,1.67,1.675,0,0.0
AR,C-O,1.675,1.68,13,0.0655
AR,C-O,1.68,1.685,1,0.005
AR,C-O,1.685,1.69,3,0.0151
AR,C-O,1.69,inf,17,0.0856
AR,C=O,-inf,1.1,38,1.0185
AR,C=O,1.1,1.105,9,0.2412
AR,C=O,1.105,1.11,6,0.1608
AR,C=O,1.11,1.115,0,0.0
AR,C=O,1.115,1.12,27,0.7237
AR,C=O,1.12,1.125,22,0.5897
AR,C=O,1.125,1.13,0,0.0
AR,C=O,1.13,1.135,5,0.134
AR,C=O,1.135,1.14,38,1.0185
AR,C=O,1.14,1.145,43,1.1525
AR,C=O,1.145,1.15,18,0.4824
AR,C=O,1.15,1.155,11,0.2948
AR,C=O,1.155,1.16,46,1.2329
AR,C=O,1.16,1.165,0,0.0
AR,C=O,1.165,1.17,17,0.4556
AR,C=O,1.17,1.175,93,2.4926
AR,C=O,1.175,1.18,22,0.5897
AR,C=O,1.18,1.185,36,0.9649
AR,C=O,1.185,1.19,60,1.6081
AR,C=O,1.19,1.195,31,0.8309
AR,C=O,1.195,1.2,0,0.0
AR,C=O,1.2,1.205,57,1.5277
AR,C=O,1.205,1.21,123,3.2967
AR,C=O,1.21,1.215,56,1.5009
AR,C=O,1.215,1.22,19,0.5092
AR,C=O,1.22,1.225,254,6.8078
AR,C=O,1.225,1.23,0,0.0
AR,C=O,1.23,1.235,44,1.1793
AR,C=O,1.235,1.24,181,4.8512
AR,C=O,1.24,1.245,150,4.0204
AR,C=O,1.245,1.25,1,0.0268
AR,C=O,1.25,1.255,68,1.8226
AR,C=O,1.255,1.26,154,4.1276
AR,C=O,1.26,1.265,32,0.8577
AR,C=O,1.265,1.27,235,6.2986
AR,C=O,1.27,1.275,168,4.5028
AR,C=O,1.275,1.28,30,0.8041
AR,C=O,1.28,1.285,210,5.6285
AR,C=O,1.285,1.29,85,2.2782
AR,C=O,1.29,1.295,0,0.0
AR,C=O,1.295,1.3,32,0.8577
AR,C=O,1.3,1.305,152,4.074
AR,C=O,1.305,1.31,88,2.3586
AR,C=O,1.31,1.315,6,0.1608
AR,C=O,1.315,1.32,209,5.6017
AR,C=O,1.32,1.325,0,0.0
AR,C=O,1.325,1.33,11,0.2948
AR,C=O,1.33,1.335,49,1.3133
AR,C=O,1.335,1.34,23,0.6165
AR,C=O,1.34,1.345,53,1.4205
AR,C=O,1.345,1.35,152,4.074
AR,C=O,1.35,1.355,0,0.0
AR,C=O,1.355,1.36,12,0.3216
AR,C=O,1.36,1.365,108,2.8947
AR,C=O,1.365,1.37,7,0.1876
AR,C=O,1.37,1.375,29,0.7773
AR,C=O,1.375,1.38,11,0.2948
AR,C=O,1.38,1.385,0,0.0
AR,C=O,1.385,1.39,15,0.402
AR,C=O,1.39,1.395,77,2.0638
AR,C=O,1.395,1.4,19,0.5092
AR,C=O,1.4,1.405,43,1.1525
AR,C=O,1.405,1.41,20,0.536
AR,C=O,1.41,1.415,13,0.3484
AR,C=O,1.415,1.42,32,0.8577
AR,C=O,1.42,1.425,22,0.5897
AR,C=O,1.425,1.43,6,0.1608
AR,C=O,1.43,1.435,10,0.268
AR,C=O,1.435,1.44,27,0.7237
AR,C=O,1.44,1.445,4,0.1072
AR,C=O,1.445,1.45,30,0.8041
AR,C=O,1.45,1.455,8,0.2144
AR,C=O,1.455,1.46,13,0.3484
AR,C=O,1.46,1.465,5,0.134
AR,C=O,1.465,1.47,11,0.2948
AR,C=O,1.47,1.475,6,0.1608
AR,C=O,1.475,1.48,13,0.3484
AR,C=O,1.48,1.485,0,0.0
AR,C=O,1.485,1.49,18,0.4824
AR,C=O,1.49,1.495,0,0.0
AR,C=O,1.495,1.5,3,0.0804
AR,C=O,1.5,1.505,5,0.134
AR,C=O,1.505,1.51,0,0.0
AR,C=O,1.51,1.515,0,0.0
AR,C=O,1.515,1.52,0,0.0
AR,C=O,1.52,1.525,0,0.0
AR,C=O,1.525,1.53,0,0.0
AR,C=O,1.53,1.535,0,0.0
AR,C=O,1.535,1.54,0,0.0
AR,C=O,1.54,1.545,0,0.0
AR,C=O,1.545,1.55,0,0.0
AR,C=O,1.55,1.555,0,0.0
AR,C=O,1.555,1.56,0,0.0
AR,C=O,1.56,1.565,0,0.0
AR,C=O,1.565,1.57,0,0.0
AR,C=O,1.57,1.575,0,0.0
AR,C=O,1.575,1.58,0,0.0
AR,C=O,1.58,1.585,0,0.0
AR,C=O,1.585,1.59,0,0.0
AR,C=O,1.59,1.595,0,0.0
AR,C=O,1.595,1.6,0,0.0
AR,C=O,1.6,1.605,0,0.0
AR,C=O,1.605,1.61,0,0.0
AR,C=O,1.61,1.615,0,0.0
AR,C=O,1.615,1.62,0,0.0
AR,C=O,1.62,1.625,0,0.0
AR,C=O,1.625,1.63,0,0.0
AR,C=O,1.63,1.635,0,0.0
AR,C=O,1.635,1.64,0,0.0
AR,C=O,1.64,1.645,0,0.0
AR,C=O,1.645,1.65,0,0.0
AR,C=O,1.65,1.655,0,0.0
AR,C=O,1.655,1.66,0,0.0
AR,C=O,1.66,1.665,0,0.0
AR,C=O,1.665,1.67,0,0.0
AR,C=O,1.67,1.675,0,0.0
AR,C=O,1.675,1.68,0,0.0
AR,C=O,1.68,1.685,0,0.0
AR,C=O,1.685,1.69,0,0.0
AR,C=O,1.69,inf,0,0.0
AR,C:C,-inf,1.1,0,0.0
AR,C:C,1.1,1.105,0,0.0
AR,C:C,1.105,1.11,0,0.0
AR,C:C,1.11,1.115,0,0.0
AR,C:C,1.115,1.12,0,0.0
AR,C:C,1.12,1.125,0,0.0
AR,C:C,1.125,1.13,0,0.0
AR,C:C,1.13,1.135,0,0.0
AR,C:C,1.135,1.14,0,0.0
AR,C:C,1.14,1.145,1,0.0061
AR,C:C,1.145,1.15,0,0.0
AR,C:C,1.15,1.155,0,0.0
AR,C:C,1.155,1.16,0,0.0
AR,C:C,1.16,1.165,0,0.0
AR,C:C,1.165,1.17,0,0.0
AR,C:C,1.17,1.175,0,0.0
AR,C:C,1.175,1.18,0,0.0
AR,C:C,1.18,1.185,1,0.0061
AR,C:C,1.185,1.19,1,0.0061
AR,C:C,1.19,1.195,0,0.0
AR,C:C,1.195,1.2,0,0.0
AR,C:C,1.2,1.205,1,0.0061
AR,C:C,1.205,1.21,1,0.0061
AR,C:C,1.21,1.215,0,0.0
AR,C:C,1.215,1.22,0,0.0
AR,C:C,1.22,1.225,2,0.0123
AR,C:C,1.225,1.23,0,0.0
AR,C:C,1.23,1.235,3,0.0184
AR,C:C,1.235,1.24,8,0.0491
AR,C:C,1.24,1.245,10,0.0614
AR,C:C,1.245,1.25,0,0.0
AR,C:C,1.25,1.255,4,0.0245
AR,C:C,1.255,1.26,12,0.0736
AR,C:C,1.26,1.265,1,0.0061
AR,C:C,1.265,1.27,20,0.1227
AR,C:C,1.27,1.275,15,0.092
AR,C:C,1.275,1.28,31,0.1902
AR,C:C,1.28,1.285,46,0.2823
AR,C:C,1.285,1.29,60,0.3682
AR,C:C,1.29,1.295,0,0.0
AR,C:C,1.295,1.3,76,0.4663
AR,C:C,1.3,1.305,200,1.2272
AR,C:C,1.305,1.31,74,0.4541
AR,C:C,1.31,1.315,14,0.0859
