plinder_pdb	plinder_chain	cohort_pdb	cohort_chain	pident	query_coverage	subject_coverage	alignment_length	query_length	subject_length	evalue	bitscore
5r47	5r47_B	1c5s	1c5s__chain0	42.3	99.2	56.1	130	131	223	7.68e-24	87.0
5r48	5r48_B	1c5s	1c5s__chain0	42.3	99.2	56.1	130	131	223	7.68e-24	87.0
5r49	5r49_B	1c5s	1c5s__chain0	42.3	99.2	56.1	130	131	223	7.68e-24	87.0
5r4a	5r4a_B	1c5s	1c5s__chain0	42.3	99.2	56.1	130	131	223	7.68e-24	87.0
5r4b	5r4b_B	1c5s	1c5s__chain0	42.3	99.2	56.1	130	131	223	7.68e-24	87.0
5r4c	5r4c_B	1c5s	1c5s__chain0	42.3	99.2	56.1	130	131	223	7.68e-24	87.0
5r4d	5r4d_B	1c5s	1c5s__chain0	42.3	99.2	56.1	130	131	223	7.68e-24	87.0
5r4v	5r4v_A	6s56	6s56__chain0	98.5	100.0	100.0	130	130	130	1.05e-91	256.0
5r4w	5r4w_A	6s56	6s56__chain0	98.5	100.0	100.0	130	130	130	1.05e-91	256.0
5r4x	5r4x_A	6s56	6s56__chain0	98.5	100.0	100.0	130	130	130	1.05e-91	256.0
5r4y	5r4y_A	6s56	6s56__chain0	98.5	100.0	100.0	130	130	130	1.05e-91	256.0
5r4z	5r4z_A	6s56	6s56__chain0	98.5	100.0	100.0	130	130	130	1.05e-91	256.0
5r8u	5r8u_A	4loo	4loo__chain0	99.4	100.0	99.7	348	346	349	4.9900000000000006e-259	697.0
5r8v	5r8v_A	4loo	4loo__chain0	99.7	100.0	99.7	348	347	349	2.1999999999999998e-260	701.0
5r8y	5r8y_A	4loo	4loo__chain0	99.1	99.7	99.7	348	346	349	3.93e-256	690.0
5r8z	5r8z_A	4loo	4loo__chain0	100.0	100.0	99.7	348	348	349	5.8799999999999995e-263	707.0
5r90	5r90_A	4loo	4loo__chain0	98.0	99.7	99.7	348	342	349	1.78e-251	678.0
5r92	5r92_A	2zb1	2zb1__chain0	99.1	100.0	100.0	345	345	345	2.38e-258	695.0
5r94	5r94_A	4loo	4loo__chain0	99.1	99.7	99.7	348	346	349	6.79e-257	692.0
5r95	5r95_A	4loo	4loo__chain0	99.1	99.7	99.7	348	346	349	6.79e-257	692.0
5r96	5r96_A	4loo	4loo__chain0	99.7	100.0	99.7	348	347	349	2.1999999999999998e-260	701.0
5r97	5r97_A	4loo	4loo__chain0	100.0	100.0	99.7	348	348	349	5.8799999999999995e-263	707.0
5r98	5r98_A	4loo	4loo__chain0	100.0	100.0	99.7	348	348	349	5.8799999999999995e-263	707.0
5r99	5r99_A	4loo	4loo__chain0	98.9	100.0	99.7	348	344	349	2.5499999999999998e-256	690.0
5r9a	5r9a_A	4loo	4loo__chain0	100.0	100.0	99.7	348	348	349	5.8799999999999995e-263	707.0
5r9b	5r9b_A	2zb1	2zb1__chain0	99.1	100.0	99.7	344	343	345	8.579999999999999e-256	689.0
5r9d	5r9d_A	4loo	4loo__chain0	98.9	100.0	99.7	348	344	349	1.47e-255	688.0
5r9f	5r9f_A	4loo	4loo__chain0	99.1	100.0	99.7	348	345	349	6.52e-257	692.0
5r9i	5r9i_A	2zb1	2zb1__chain0	97.4	100.0	99.7	344	337	345	3.29e-247	667.0
5r9k	5r9k_A	4loo	4loo__chain0	98.3	99.7	99.7	348	343	349	9.97e-256	689.0
5r9n	5r9n_A	4loo	4loo__chain0	98.0	99.7	99.7	348	342	349	2.1600000000000002e-252	680.0
5r9q	5r9q_A	4loo	4loo__chain0	99.4	100.0	99.7	348	346	349	4.9900000000000006e-259	697.0
5r9t	5r9t_A	4loo	4loo__chain0	99.4	100.0	99.7	348	346	349	1.74e-259	698.0
5r9y	5r9y_A	4loo	4loo__chain0	98.6	100.0	99.7	348	343	349	4.0599999999999997e-255	687.0
5ra0	5ra0_A	4loo	4loo__chain0	99.1	100.0	99.7	348	345	349	3.93e-258	695.0
5ra5	5ra5_A	4loo	4loo__chain0	100.0	100.0	99.7	348	348	349	5.8799999999999995e-263	707.0
5ra7	5ra7_A	4loo	4loo__chain0	100.0	100.0	99.7	348	348	349	5.8799999999999995e-263	707.0
5s75	5s75_B	3tzm	3tzm__chain0	65.6	99.7	99.0	294	293	295	4.63e-143	399.0
5s76	5s76_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s77	5s77_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s78	5s78_B	3tzm	3tzm__chain0	66.3	99.7	98.0	291	292	295	4.69e-145	404.0
5s79	5s79_B	3tzm	3tzm__chain0	65.3	100.0	98.0	291	288	295	2.0799999999999999e-140	392.0
5s7a	5s7a_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s7b	5s7b_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s7c	5s7c_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s7d	5s7d_B	3tzm	3tzm__chain0	66.3	99.7	99.0	294	295	295	2.25e-146	408.0
5s7e	5s7e_B	3tzm	3tzm__chain0	65.6	99.7	99.0	294	293	295	4.63e-143	399.0
5s7f	5s7f_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s7h	5s7h_B	3tzm	3tzm__chain0	65.6	99.7	99.0	294	293	295	4.63e-143	399.0
5s7i	5s7i_B	3tzm	3tzm__chain0	66.0	99.7	99.0	294	294	295	8.35e-144	401.0
5s7j	5s7j_A	3tzm	3tzm__chain0	65.3	99.0	99.7	294	286	295	9.58e-141	393.0
5s7k	5s7k_B	3tzm	3tzm__chain0	65.6	99.7	99.0	294	293	295	4.63e-143	399.0
5s7l	5s7l_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s7m	5s7m_A	3tzm	3tzm__chain0	66.0	99.3	99.7	294	285	295	4.82e-143	399.0
5s7n	5s7n_A	3tzm	3tzm__chain0	65.6	99.0	99.7	294	286	295	1.4299999999999999e-142	398.0
5s7o	5s7o_B	3tzm	3tzm__chain0	66.3	99.7	99.0	294	295	295	2.25e-146	408.0
5s7p	5s7p_B	3tzm	3tzm__chain0	65.3	99.7	98.0	291	289	295	2.1699999999999997e-140	392.0
5s7q	5s7q_B	3tzm	3tzm__chain0	65.0	99.7	99.0	294	291	295	4.719999999999999e-140	392.0
5s7r	5s7r_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s7s	5s7s_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s7t	5s7t_B	3tzm	3tzm__chain0	66.3	100.0	99.0	294	294	295	2.17e-146	408.0
5s7u	5s7u_A	3tzm	3tzm__chain0	65.0	99.3	99.7	294	280	295	5.889999999999999e-138	386.0
5s7v	5s7v_B	3tzm	3tzm__chain0	65.0	99.7	99.0	294	291	295	4.719999999999999e-140	392.0
5s7w	5s7w_B	3tzm	3tzm__chain0	65.3	99.3	99.0	294	293	295	1.08e-141	396.0
5s7x	5s7x_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s7y	5s7y_B	3tzm	3tzm__chain0	65.3	99.3	98.0	291	290	295	2.25e-140	392.0
5s7z	5s7z_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s80	5s80_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s81	5s81_B	3tzm	3tzm__chain0	65.3	99.7	98.0	291	289	295	2.1699999999999997e-140	392.0
5s82	5s82_A	3tzm	3tzm__chain0	65.3	99.3	99.7	294	279	295	5.659999999999999e-138	386.0
5s83	5s83_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s84	5s84_B	3tzm	3tzm__chain0	65.2	99.7	98.6	293	291	295	2.86e-141	395.0
5s85	5s85_B	3tzm	3tzm__chain0	65.3	99.3	98.0	291	290	295	2.25e-140	392.0
5s86	5s86_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s87	5s87_B	3tzm	3tzm__chain0	65.0	99.7	99.0	294	290	295	3.91e-141	394.0
5s88	5s88_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s89	5s89_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s8a	5s8a_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s8b	5s8b_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s9k	5s9k_B	3tzm	3tzm__chain0	65.3	99.7	99.0	294	292	295	1.04e-141	396.0
5s9o	5s9o_B	5ula	5ula__chain0	82.7	91.2	87.4	104	114	119	2.2500000000000001e-66	191.0
5s9p	5s9p_A	5d24	5d24__chain0	100.0	98.4	100.0	126	128	126	6.42e-96	266.0
5s9q	5s9q_A	5d24	5d24__chain0	100.0	99.2	100.0	126	127	126	8.75e-96	266.0
5s9r	5s9r_A	5d25	5d25__chain0	100.0	98.4	100.0	124	126	124	6.46e-95	264.0
5sau	5sau_A	6pl1	6pl1__chain0	46.3	95.5	91.7	283	287	290	2.0500000000000002e-77	232.0
5sav	5sav_A	6pl1	6pl1__chain0	46.2	96.9	92.8	286	291	290	5.86e-78	234.0
5saw	5saw_A	6pl1	6pl1__chain0	44.5	96.9	91.7	290	291	290	9.759999999999999e-74	223.0
5sax	5sax_A	6pl1	6pl1__chain0	45.5	94.4	91.7	292	302	290	5.5e-76	229.0
5say	5say_A	6pl1	6pl1__chain0	46.3	96.6	91.7	287	290	290	1.2899999999999999e-76	230.0
5saz	5saz_A	6pl1	6pl1__chain0	46.2	94.8	91.7	286	290	290	1.66e-74	225.0
5sb0	5sb0_A	6pl1	6pl1__chain0	46.5	95.1	91.7	282	284	290	1.19e-75	228.0
5sb1	5sb1_A	6pl1	6pl1__chain0	46.5	95.1	91.7	282	284	290	1.19e-75	228.0
5sb2	5sb2_A	6pl1	6pl1__chain0	45.9	95.1	91.7	281	286	290	4.51e-76	229.0
5scm	5scm_A	4km0	4km0__chain0	100.0	97.6	100.0	161	165	161	2.8e-121	333.0
5scn	5scn_A	4km0	4km0__chain0	100.0	96.4	100.0	161	167	161	3.04e-121	333.0
5sco	5sco_A	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5scp	5scp_B	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5scq	5scq_A	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5scr	5scr_A	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5scs	5scs_A	4km0	4km0__chain0	100.0	96.4	100.0	161	167	161	3.04e-121	333.0
5sct	5sct_A	4km0	4km0__chain0	100.0	93.1	100.0	161	173	161	1.9200000000000001e-121	334.0
5scu	5scu_A	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5scv	5scv_B	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5scw	5scw_A	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5scx	5scx_A	4km0	4km0__chain0	100.0	93.6	100.0	161	172	161	2.63e-121	334.0
5scy	5scy_A	4km0	4km0__chain0	100.0	95.8	100.0	161	168	161	3.17e-121	333.0
5scz	5scz_A	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5sd0	5sd0_A	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5sd1	5sd1_A	4km0	4km0__chain0	100.0	95.3	100.0	161	169	161	3.3e-121	333.0
5sd2	5sd2_A	4km0	4km0__chain0	100.0	94.2	100.0	161	171	161	5.09e-121	333.0
5sd3	5sd3_A	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5sd4	5sd4_A	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5sd5	5sd5_A	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5sd6	5sd6_A	4g95	4g95__chain0	100.0	99.5	100.0	186	187	186	1.18e-138	379.0
5sd7	5sd7_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
5sd8	5sd8_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
5sd9	5sd9_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
5sda	5sda_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
5sdb	5sdb_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
5sss	5sss_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
5sst	5sst_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
5ssu	5ssu_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
5ssv	5ssv_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
5ssw	5ssw_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
5syo	5syo_E	4dbm	4dbm__chain2	94.1	100.0	99.5	205	205	206	6.62e-143	392.0
5syz	5syz_A	4k4j	4k4j__chain0	41.0	81.0	88.8	195	237	214	1.57e-38	128.0
5t0l	5t0l_A	3oaf	3oaf__chain0	37.2	37.0	95.7	191	508	186	3.06e-32	117.0
5t0p	5t0p_B	3gvu	3gvu__chain0	50.0	93.2	93.7	254	263	271	4.62e-81	240.0
5t1h	5t1h_A	3pe1	3pe1__chain0	100.0	98.8	100.0	327	331	327	1.7400000000000001e-252	679.0
5t1z	5t1z_B	4k4j	4k4j__chain0	33.0	81.1	86.9	194	238	214	9.62e-22	84.7
5t21	5t21_A	2yki	2yki__chain0	100.0	99.5	100.0	207	208	207	4.1699999999999997e-147	402.0
5t3q	5t3q_A	3gvu	3gvu__chain0	39.8	83.8	88.6	246	278	271	8.73e-55	173.0
5t5t	5t5t_A	5aut	5aut__chain0	36.1	69.1	96.0	266	369	274	1.26e-45	152.0
5t6a	5t6a_A	5aut	5aut__chain0	38.4	60.3	96.4	268	431	274	6.36e-53	173.0
5t6i	5t6i_A	2wtv	2wtv__chain0	38.6	58.8	93.2	254	427	264	7.49e-50	165.0
5t6k	5t6k_A	5aut	5aut__chain0	38.4	60.2	96.4	268	432	274	1.2799999999999999e-52	172.0
5t71	5t71_A	4qy3	4qy3__chain0	99.2	100.0	100.0	257	257	257	9.480000000000001e-198	535.0
5t72	5t72_A	4qy3	4qy3__chain0	99.2	100.0	100.0	257	257	257	9.480000000000001e-198	535.0
5t74	5t74_A	4qy3	4qy3__chain0	99.2	100.0	100.0	257	257	257	9.480000000000001e-198	535.0
5t75	5t75_A	4qy3	4qy3__chain0	99.2	100.0	100.0	257	257	257	1.9099999999999998e-197	534.0
5ta8	5ta8_A	3uo4	3uo4__chain0	33.2	86.1	94.4	253	294	266	5.29e-50	161.0
5tbp	5tbp_A	4k4j	4k4j__chain0	100.0	99.0	91.6	196	198	214	1.3900000000000002e-144	396.0
5tca	5tca_A	2fpz	2fpz__chain0	36.6	97.8	97.5	243	228	243	1.64e-39	131.0
5tcc	5tcc_A	2fpz	2fpz__chain0	36.6	97.8	97.5	243	228	243	1.64e-39	131.0
5te4	5te4_L	1i7z	1i7z__chain0	74.1	98.6	98.6	216	210	219	2.5600000000000002e-110	310.0
5tel	5tel_A	3jya	3jya__chain0	99.6	100.0	100.0	274	273	274	2.1600000000000002e-209	565.0
5tld	5tld_A	4k4j	4k4j__chain0	33.2	80.9	86.9	190	230	214	4.13e-22	85.5
5tlf	5tlf_B	4k4j	4k4j__chain0	31.3	95.7	99.1	230	235	214	1.2600000000000002e-21	84.3
5tlg	5tlg_A	4k4j	4k4j__chain0	32.6	81.7	86.9	190	229	214	2.98e-21	83.2
5tll	5tll_A	4k4j	4k4j__chain0	30.8	95.7	99.1	227	235	214	1.2600000000000002e-21	84.3
5tlm	5tlm_A	4k4j	4k4j__chain0	31.4	96.0	99.1	226	226	214	1.43e-21	84.0
5tlo	5tlo_B	4k4j	4k4j__chain0	33.2	80.2	86.9	190	232	214	4.33e-22	85.5
5tlp	5tlp_B	4k4j	4k4j__chain0	32.9	80.2	77.6	170	207	214	7.07e-19	76.3
5tlv	5tlv_B	4k4j	4k4j__chain0	30.9	95.9	99.1	233	242	214	2.78e-22	86.3
5tlx	5tlx_B	4k4j	4k4j__chain0	30.9	95.9	99.1	233	242	214	2.78e-22	86.3
5tly	5tly_A	4k4j	4k4j__chain0	32.6	80.7	86.9	190	233	214	4.53e-21	82.8
5tm1	5tm1_A	4k4j	4k4j__chain0	33.2	81.8	86.9	190	220	214	1.81e-19	78.2
5tm2	5tm2_A	4k4j	4k4j__chain0	32.8	82.5	86.9	189	217	214	4.5e-20	79.7
5tm3	5tm3_B	4k4j	4k4j__chain0	31.0	95.1	99.1	232	243	214	2.04e-22	86.7
5tm4	5tm4_B	4k4j	4k4j__chain0	32.1	81.2	86.9	190	218	214	1.26e-17	73.2
5tm8	5tm8_A	4k4j	4k4j__chain0	31.3	95.7	99.1	230	235	214	6.46e-22	85.1
5tm9	5tm9_B	4k4j	4k4j__chain0	30.9	96.2	91.1	207	211	214	7.75e-19	76.3
5tmo	5tmo_B	4k4j	4k4j__chain0	31.3	95.8	99.1	230	239	214	4.9199999999999993e-23	88.2
5tmq	5tmq_B	4k4j	4k4j__chain0	31.0	95.1	99.1	232	243	214	2.04e-22	86.7
5tmt	5tmt_B	4k4j	4k4j__chain0	31.3	95.3	99.1	227	234	214	1.6700000000000001e-22	86.7
5tmu	5tmu_A	4k4j	4k4j__chain0	31.0	95.9	99.1	232	241	214	1.95e-22	86.7
5tmv	5tmv_B	4k4j	4k4j__chain0	31.0	95.4	99.1	232	239	214	9.84e-22	84.7
5tmw	5tmw_A	4k4j	4k4j__chain0	31.1	94.6	99.1	228	240	214	7.21e-22	85.1
5tn4	5tn4_B	4k4j	4k4j__chain0	30.9	95.5	99.1	233	243	214	3.96e-22	85.9
5tn5	5tn5_B	4k4j	4k4j__chain0	30.8	95.7	99.1	227	235	214	1.2600000000000002e-21	84.3
5tn6	5tn6_B	4k4j	4k4j__chain0	31.4	90.0	96.3	210	230	214	8.05e-22	84.7
5tn7	5tn7_B	4k4j	4k4j__chain0	30.8	96.2	99.1	227	235	214	4.4899999999999997e-23	88.2
5tn8	5tn8_A	4k4j	4k4j__chain0	31.1	95.6	99.1	222	228	214	9.979999999999999e-24	89.7
5tnb	5tnb_B	4k4j	4k4j__chain0	31.1	96.3	99.1	225	215	214	3.08e-20	80.1
5toa	5toa_B	4k4j	4k4j__chain0	32.3	93.5	96.3	223	232	214	4.51e-20	80.1
5tp9	5tp9_A	5dex	5dex__chain1	98.6	99.6	99.3	277	276	279	4.49e-204	552.0
5tpa	5tpa_A	5dex	5dex__chain1	98.6	99.6	99.3	277	276	279	4.49e-204	552.0
5tsf	5tsf_E	2wnj	2wnj__chain4	100.0	100.0	100.0	217	217	217	3.06e-165	449.0
5tsv	5tsv_B	4j93	4j93__chain0	98.6	66.7	100.0	146	219	146	4.39e-106	297.0
5tsx	5tsx_J	4j93	4j93__chain0	98.6	68.9	100.0	146	212	146	3.34e-106	297.0
5tto	5tto_B	5jy3	5jy3__chain0	31.5	79.1	83.8	213	258	228	5.0899999999999995e-23	89.0
5ttz	5ttz_B	6ey9	6ey9__chain0	54.5	92.6	96.6	202	215	207	1.82e-68	204.0
5tud	5tud_B	1i7z	1i7z__chain0	81.1	100.0	99.1	217	211	219	1.31e-117	328.0
5tvc	5tvc_A	3c84	3c84__chain4	94.1	97.2	100.0	205	211	205	8.15e-143	392.0
5tvh	5tvh_D	2wnj	2wnj__chain4	100.0	100.0	100.0	217	217	217	3.06e-165	449.0
5tvt	5tvt_A	6qau	6qau__chain0	34.7	75.4	96.0	268	321	276	4.8800000000000005e-43	144.0
5twy	5twy_A	6qau	6qau__chain0	35.5	74.8	96.0	265	313	276	8.38e-42	141.0
5tzl	5tzl_A	4d7b	4d7b__chain0	100.0	100.0	100.0	116	116	116	9.09e-84	235.0
5u0v	5u0v_A	4nl1	4nl1__chain0	39.8	92.6	91.9	251	257	273	1.33e-57	180.0
5u10	5u10_A	4nl1	4nl1__chain0	40.3	90.9	91.9	258	275	273	6.71e-60	186.0
5u26	5u26_A	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5u27	5u27_A	4km0	4km0__chain0	100.0	97.0	100.0	161	166	161	2.05e-121	334.0
5u2b	5u2b_D	4k4j	4k4j__chain0	33.2	81.9	86.9	190	226	214	2.04e-20	80.9
5u2d	5u2d_B	4k4j	4k4j__chain0	31.3	92.9	99.1	227	239	214	1.91e-21	84.0
5u3d	5u3d_A	1i7z	1i7z__chain0	77.6	100.0	100.0	219	214	219	8.11e-115	322.0
5u3q	5u3q_A	4k4j	4k4j__chain0	31.9	66.0	83.2	182	265	214	7.83e-17	72.0
5u3r	5u3r_B	4k4j	4k4j__chain0	31.9	67.0	83.2	182	261	214	7.36e-17	72.0
5u3s	5u3s_B	4k4j	4k4j__chain0	31.9	66.5	83.2	182	263	214	7.59e-17	72.0
5u3t	5u3t_B	4k4j	4k4j__chain0	31.9	65.8	83.2	182	266	214	7.95e-17	72.0
5u3v	5u3v_A	4k4j	4k4j__chain0	31.9	66.5	83.2	182	263	214	7.59e-17	72.0
5u3w	5u3w_B	4k4j	4k4j__chain0	31.9	66.8	83.2	182	262	214	7.47e-17	72.0
5u3x	5u3x_A	4k4j	4k4j__chain0	31.9	66.8	83.2	182	262	214	7.47e-17	72.0
5u3y	5u3y_B	4k4j	4k4j__chain0	31.9	68.6	83.2	182	255	214	6.68e-17	72.0
5u3z	5u3z_B	4k4j	4k4j__chain0	31.9	67.0	83.2	182	261	214	7.36e-17	72.0
5u40	5u40_A	4k4j	4k4j__chain0	31.9	68.1	83.2	182	257	214	9.53e-17	71.6
5u41	5u41_A	4k4j	4k4j__chain0	31.9	67.3	83.2	182	260	214	7.24e-17	72.0
5u42	5u42_B	4k4j	4k4j__chain0	31.9	66.5	83.2	182	263	214	7.59e-17	72.0
5u43	5u43_B	4k4j	4k4j__chain0	31.9	66.8	83.2	182	262	214	7.47e-17	72.0
5u44	5u44_A	4k4j	4k4j__chain0	31.9	68.1	83.2	182	257	214	9.53e-17	71.6
5u45	5u45_A	4k4j	4k4j__chain0	31.9	66.8	83.2	182	262	214	7.47e-17	72.0
5u46	5u46_A	4k4j	4k4j__chain0	31.9	66.3	83.2	182	264	214	7.71e-17	72.0
5u5f	5u5f_A	1i7z	1i7z__chain0	77.6	100.0	100.0	219	214	219	8.11e-115	322.0
5u5m	5u5m_A	1i7z	1i7z__chain0	77.6	100.0	100.0	219	214	219	8.11e-115	322.0
5u6a	5u6a_A	1i7z	1i7z__chain0	77.6	100.0	100.0	219	214	219	8.11e-115	322.0
5u6i	5u6i_A	2ojj	2ojj__chain0	99.4	100.0	98.8	340	339	344	1.42e-255	688.0
5u7r	5u7r_D	4uj1	4uj1__chain0	35.6	82.7	91.7	320	382	337	2.1999999999999998e-67	211.0
5uab	5uab_A	4twp	4twp__chain0	42.0	82.6	92.1	250	288	266	3.25e-65	200.0
5uad	5uad_A	3gvu	3gvu__chain0	42.1	82.8	89.7	254	291	271	9.449999999999999e-61	189.0
5uan	5uan_A	3ozj	3ozj__chain0	98.6	75.9	99.5	214	278	215	1.21e-150	415.0
5ucr	5ucr_B	3iub	3iub__chain1	45.7	95.1	90.3	256	268	278	6.910000000000001e-56	176.0
5ueo	5ueo_A	4z93	4z93__chain0	98.1	98.1	94.5	106	108	110	8.95e-74	209.0
5uep	5uep_A	4z93	4z93__chain0	98.1	97.2	94.5	106	109	110	9.33e-74	209.0
5ueq	5ueq_A	4z93	4z93__chain0	98.1	99.1	94.5	106	107	110	8.59e-74	209.0
5uer	5uer_A	4z93	4z93__chain0	98.1	97.2	94.5	106	109	110	9.33e-74	209.0
5ues	5ues_A	4z93	4z93__chain0	98.1	97.2	94.5	106	109	110	9.33e-74	209.0
5uet	5uet_A	4z93	4z93__chain0	98.1	97.2	94.5	106	109	110	9.33e-74	209.0
5uev	5uev_A	4z93	4z93__chain0	98.1	98.1	94.5	106	108	110	8.95e-74	209.0
5uew	5uew_A	4z93	4z93__chain0	83.3	97.3	96.4	108	111	110	3.0200000000000003e-66	190.0
5ufu	5ufu_A	5aut	5aut__chain0	36.1	69.1	96.0	266	369	274	1.26e-45	152.0
5ufw	5ufw_A	4k4j	4k4j__chain0	31.5	97.5	99.1	232	237	214	6.75e-22	85.1
5ufx	5ufx_B	4k4j	4k4j__chain0	31.7	96.5	99.1	224	231	214	4.0899999999999997e-23	88.2
5ugd	5ugd_A	1p57	1p57__chain1	43.8	90.7	93.5	235	246	247	4.59e-63	192.0
5ugl	5ugl_B	3gvu	3gvu__chain0	45.0	93.4	91.5	258	271	271	2.5000000000000003e-72	218.0
5ugx	5ugx_B	3gvu	3gvu__chain0	43.8	94.0	91.5	267	282	271	8.31e-71	214.0
5uhl	5uhl_C	2vvs	2vvs__chain0	37.0	89.1	44.8	270	302	580	7.07e-50	169.0
5uhn	5uhn_B	3gvu	3gvu__chain0	44.6	94.1	91.5	258	269	271	6.63e-72	217.0
5uho	5uho_C	2vvs	2vvs__chain0	37.0	89.1	44.8	270	302	580	7.07e-50	169.0
5ui0	5ui0_A	3gvu	3gvu__chain0	43.3	91.4	91.5	275	301	271	2.22e-70	214.0
5uih	5uih_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
5uio	5uio_A	2d0k	2d0k__chain0	96.2	98.8	99.4	158	160	159	3.14e-114	315.0
5uip	5uip_A	2d0k	2d0k__chain0	96.8	99.4	99.4	158	159	159	3.6599999999999996e-115	318.0
5ujf	5ujf_A	4km2	4km2__chain0	100.0	98.8	100.0	159	161	159	7.43e-120	330.0
5ujx	5ujx_B	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
5uls	5uls_A	6ey9	6ey9__chain0	55.9	31.2	96.6	204	650	207	3.5e-65	208.0
5un1	5un1_E	5dex	5dex__chain0	66.6	91.5	100.0	377	412	269	6.990000000000001e-169	469.0
5upk	5upk_B	6nfy	6nfy__chain1	39.0	90.3	93.7	267	289	285	2.63e-57	181.0
5uq0	5uq0_B	3gvu	3gvu__chain0	43.0	92.2	91.5	251	256	271	7.3e-65	198.0
5ut2	5ut2_A	5wij	5wij__chain0	100.0	100.0	99.6	273	273	274	3.0700000000000003e-209	565.0
5ut3	5ut3_A	5ut6	5ut6__chain0	100.0	100.0	100.0	272	272	272	1.58e-208	563.0
5ut5	5ut5_A	5ut6	5ut6__chain0	100.0	100.0	100.0	272	272	272	1.58e-208	563.0
5utp	5utp_B	3gs6	3gs6__chain0	44.0	85.4	86.3	293	335	322	1.87e-64	202.0
5utq	5utq_B	3gs6	3gs6__chain0	44.0	85.7	86.3	293	335	322	7.420000000000001e-64	200.0
5utr	5utr_A	2oxn	2oxn__chain0	44.9	86.1	85.6	296	339	333	3.83e-71	219.0
5uvs	5uvs_A	4z93	4z93__chain0	98.1	97.2	94.5	106	109	110	9.33e-74	209.0
5uvt	5uvt_A	4z93	4z93__chain0	98.1	100.0	94.5	106	106	110	8.239999999999999e-74	209.0
